imdbId,ordering,actor_name,category,characters
27977,10,Al Ernest Garcia,actor,President of the Electro Steel Corp.
27996,1,Gary Cooper,actor,Longfellow Deeds
27996,2,Jean Arthur,actress,Babe Bennett
27996,3,George Bancroft,actor,MacWade
27996,4,Lionel Stander,actor,Cornelius Cobb
27996,10,Douglass Dumbrille,actor,John Cedar
28010,1,William Powell,actor,Godfrey
28010,2,Carole Lombard,actress,Irene Bullock
28010,3,Alice Brady,actress,Angelica Bullock
28010,4,Gail Patrick,actress,Cornelia Bullock
28212,1,Sylvia Sidney,actress,Mrs. Verloc
28212,2,Oskar Homolka,actor,Karl Verloc--Her Husband
28212,3,Desmond Tester,actor,Stevie
28212,4,John Loder,actor,Detective Sgt. Ted Spencer
28216,1,Clark Gable,actor,Blackie Norton
28216,2,Jeanette MacDonald,actress,Mary Blake
28216,3,Spencer Tracy,actor,Father Tim Mullin
28216,4,Jack Holt,actor,Jack Burley
28231,1,John Gielgud,actor,Richard Ashenden|Edgar Brodie
28231,2,Madeleine Carroll,actress,Elsa Carrington
28231,3,Robert Young,actor,Robert Marvin
28231,4,Peter Lorre,actor,The General
28333,1,Fred Astaire,actor,Lucky Garnett
28333,2,Ginger Rogers,actress,Penny Carroll
28333,3,Victor Moore,actor,Pop Cardetti
28333,4,Helen Broderick,actress,Mabel Anderson
28346,1,Dorothy Short,actress,Mary
28346,2,Kenneth Craig,actor,Bill
28346,3,Lillian Miles,actress,Blanche
28346,4,Dave O'Brien,actor,Ralph
28510,1,John Wayne,actor,John Blair
28510,2,Phyllis Fraser,actress,Barbara Forsythe
28510,3,Lew Kelly,actor,Rocky O'Brien
28510,4,Douglas Cosgrove,actor,Cal Drake
28597,1,Irene Dunne,actress,Lucy Warriner
28597,2,Cary Grant,actor,Jerry Warriner
28597,3,Ralph Bellamy,actor,Daniel Leeson
28597,4,Alexander D'Arcy,actor,Armand Duvalle
28683,1,Greta Garbo,actress,Marguerite Gautier
28683,2,Robert Taylor,actor,Armand Duval
28683,3,Lionel Barrymore,actor,Monsieur Duval
28683,4,Elizabeth Allan,actress,Nichette
